Date,LIS_Soil_Moisture_Combined
2015-01-01,0.17868672274053093
2015-01-02,0.17822306565940374
2015-01-03,0.17777791805565354
2015-01-04,0.1773255620151758
2015-01-05,0.176871033385396
2015-01-06,0.17640582062304017
2015-01-07,0.1759640883654356
2015-01-08,0.17555082626640792
2015-01-09,0.17515048012137413
2015-01-10,0.17476406618952744
2015-01-11,0.17440823800861832
2015-01-12,0.17407503351569176
2015-01-13,0.173731642588973
2015-01-14,0.17337428070604796
2015-01-15,0.17302135713398453
2015-01-16,0.17268201708793637
2015-01-17,0.17235465720295906
2015-01-18,0.17200956419110294
2015-01-19,0.1716791488230228
2015-01-20,0.1713542509824037
2015-01-21,0.1710278216749429
2015-01-22,0.1707189686596393
2015-01-23,0.170431862026453
2015-01-24,0.17011525072157374
2015-01-25,0.1698107291013002
2015-01-26,0.16949162967503068
2015-01-27,0.16917493827641006
2015-01-28,0.16885577440261834
2015-01-29,0.16854443661868565
2015-01-30,0.16824230030179022
2015-01-31,0.16796472258865827
2015-02-01,0.1676786359399557
2015-02-02,0.16741530597209925
2015-02-03,0.16719033308327197
2015-02-04,0.16692899875342837
2015-02-05,0.16666469834744926
2015-02-06,0.166401070728898
2015-02-07,0.16614872924983498
2015-02-08,0.1659207671880722
2015-02-09,0.16567657366394994
2015-02-10,0.16542748101055615
2015-02-11,0.16518114991486066
2015-02-12,0.16493990235030648
2015-02-13,0.1646986093372106
2015-02-14,0.16446049138903615
2015-02-15,0.16424030140042303
2015-02-16,0.16402024067938326
2015-02-17,0.16379412971436974
2015-02-18,0.16357713788747785
2015-02-19,0.16335015632212158
2015-02-20,0.16312090158462517
2015-02-21,0.16289155296981334
2015-02-22,0.1626613814383745
2015-02-23,0.16243279464542865
2015-02-24,0.16221090927720067
2015-02-25,0.1619923364371061
2015-02-26,0.16177194863557812
2015-02-27,0.16154324300587175
2015-02-28,0.16131228059530253
2015-03-01,0.1610865790396928
2015-03-02,0.16086350977420805
2015-03-03,0.16064615547657007
2015-03-04,0.16043649874627589
2015-03-05,0.16023733578622334
2015-03-06,0.16004046723246568
2015-03-07,0.15983771793544288
2015-03-08,0.15963781364262097
2015-03-09,0.1594366107136011
2015-03-10,0.1592341750860214
2015-03-11,0.15903178863227366
2015-03-12,0.1588297706097364
2015-03-13,0.15863959677517414
2015-03-14,0.15845623463392255
2015-03-15,0.15828514806926247
2015-03-16,0.15811382494866844
2015-03-17,0.1579314932227134
2015-03-18,0.15778553560376163
2015-03-19,0.15778489671647544
2015-03-20,0.15760717652738088
2015-03-21,0.15743059478700155
2015-03-22,0.15725104697048659
2015-03-23,0.15706543214619156
2015-03-24,0.15688511878252023
2015-03-25,0.15671184323728082
2015-03-26,0.1565438654273748
2015-03-27,0.15638431757688517
2015-03-28,0.15623643361032002
2015-03-29,0.15608991198241706
2015-03-30,0.15593272969126698
2015-03-31,0.1557799745351076
2015-04-01,0.155632734298706
2015-04-02,0.15549230165779587
2015-04-03,0.15536063238978381
2015-04-04,0.15525871887803075
2015-04-05,0.15512935072183606
2015-04-06,0.15500468499958514
2015-04-07,0.1548835083842277
2015-04-08,0.1547624040395021
2015-04-09,0.15466313809156412
2015-04-10,0.15455695055425162
2015-04-11,0.15445477105677125
2015-04-12,0.1543560370802879
2015-04-13,0.15426114760339255
2015-04-14,0.15416418388485909
2015-04-15,0.15406850576400752
2015-04-16,0.15397878736257548
2015-04-17,0.15388987958431238
