Date,eMODIS_NDVI_W_Africa
2015-01-01,0.3056216537952423
2015-01-11,0.28567516803741455
2015-01-21,0.275984525680542
2015-02-01,0.2727721333503723
2015-02-11,0.2682510316371918
2015-02-21,0.2643485963344574
2015-03-01,0.2567816972732544
2015-03-11,0.25388458371162415
2015-03-21,0.25497323274612427
2015-04-01,0.25646042823791504
2015-04-11,0.2537537217140198
2015-04-21,0.25086259841918945
2015-05-01,0.2487507462501526
2015-05-11,0.24809636175632477
2015-05-21,0.2485068291425705
2015-06-01,0.24308745563030243
2015-06-11,0.24143365025520325
2015-06-21,0.2532123625278473
2015-07-01,0.2819155156612396
2015-07-11,0.3387685716152191
2015-07-21,0.42988696694374084
2015-08-01,0.5057287216186523
2015-08-11,0.5610886216163635
2015-08-21,0.597531259059906
2015-09-01,0.6231766939163208
2015-09-11,0.642956554889679
2015-09-21,0.660838782787323
2015-10-01,0.6797858476638794
2015-10-11,0.6848125457763672
2015-10-21,0.6747114658355713
2015-11-01,0.6392563581466675
2015-11-11,0.5821534395217896
2015-11-21,0.5197381973266602
2015-12-01,0.4629446566104889
2015-12-11,0.4279714822769165
2016-01-01,0.39683517813682556
2016-01-11,0.38118383288383484
2016-01-21,0.3584711253643036
2016-02-01,0.32729917764663696
2016-02-11,0.2973884344100952
2016-02-21,0.2756870985031128
2016-03-01,0.2666032016277313
2016-03-11,0.26918500661849976
2016-03-21,0.2748482823371887
2016-04-01,0.27901843190193176
2016-04-11,0.27955979108810425
2016-04-21,0.2780904173851013
2016-05-01,0.27513977885246277
2016-05-11,0.2764604389667511
2016-05-21,0.2791493237018585
2016-06-01,0.28682926297187805
2016-06-11,0.29556214809417725
2016-06-21,0.2914634048938751
2016-07-01,0.2812730669975281
2016-07-11,0.2664128541946411
2016-07-21,0.26453301310539246
2016-08-01,0.306353360414505
2016-08-11,0.4034741222858429
2016-08-21,0.5194170475006104
2016-09-01,0.6425758600234985
2016-09-11,0.7002378702163696
2016-09-21,0.7145686745643616
2016-10-01,0.709369421005249
2016-10-11,0.6860558986663818
2016-10-21,0.6301665902137756
2016-11-01,0.5645686984062195
2016-11-11,0.5024985074996948
2016-11-21,0.4523794949054718
2016-12-01,0.4196489751338959
2016-12-11,0.39600834250450134
2017-01-01,0.35361093282699585
2017-01-11,0.3373824954032898
2017-01-21,0.32063058018684387
2017-02-01,0.30283164978027344
2017-02-11,0.2834264934062958
2017-02-21,0.26934561133384705
2017-03-01,0.26298630237579346
2017-03-11,0.2616061866283417
2017-03-21,0.2614098787307739
2017-04-01,0.26217132806777954
2017-04-11,0.26051753759384155
2017-04-21,0.2605889141559601
2017-05-01,0.2656514048576355
2017-05-11,0.26782864332199097
2017-05-21,0.2724865972995758
2017-06-01,0.2814931571483612
2017-06-11,0.29375967383384705
2017-06-21,0.2960975468158722
2017-07-01,0.2870910167694092
2017-07-11,0.3037239611148834
2017-07-21,0.39079710841178894
2017-08-01,0.4571385681629181
2017-08-11,0.48577630519866943
2017-08-21,0.5572813153266907
2017-09-01,0.6519214510917664
2017-09-11,0.6802379488945007
2017-09-21,0.6707912087440491
2017-10-01,0.6379654407501221
2017-10-11,0.5916061997413635
2017-10-21,0.5492028594017029
2017-11-01,0.5048720836639404
2017-11-11,0.4580368995666504
2017-11-21,0.4161570072174072
2017-12-01,0.37635338306427
2017-12-11,0.34651991724967957
2018-01-01,0.3067340850830078
2018-01-11,0.29857224225997925
2018-01-21,0.28900057077407837
2018-02-01,0.2737715542316437
2018-02-11,0.26152288913726807
2018-02-21,0.25433671474456787
2018-03-01,0.2517251670360565
2018-03-11,0.24933373928070068
2018-03-21,0.2456454485654831
2018-04-01,0.24530039727687836
2018-04-11,0.2498631775379181
2018-04-21,0.25687089562416077
2018-05-01,0.25830456614494324
2018-05-11,0.255104124546051
2018-05-21,0.25020819902420044
2018-06-01,0.24628198146820068
2018-06-11,0.2558595836162567
2018-06-21,0.28207018971443176
2018-07-01,0.3159666955471039
2018-07-11,0.3383462429046631
2018-07-21,0.3679000735282898
2018-08-01,0.3857227861881256
2018-08-11,0.45052942633628845
2018-08-21,0.5303212404251099
2018-09-01,0.5735930800437927
2018-09-11,0.6061154007911682
2018-09-21,0.6430873870849609
2018-10-01,0.6717668175697327
2018-10-11,0.6664426326751709
2018-10-21,0.6345924139022827
2018-11-01,0.5845151543617249
2018-11-11,0.5350089073181152
2018-11-21,0.4983164668083191
2018-12-01,0.46922066807746887
2018-12-11,0.4395062327384949
2019-01-01,0.378964900970459
2019-01-11,0.3572635054588318
2019-01-21,0.3412908613681793
2019-02-01,0.32515761256217957
2019-02-11,0.30772751569747925
2019-02-21,0.28792980313301086
2019-03-01,0.27384889125823975
2019-03-11,0.2690838873386383
2019-03-21,0.26709696650505066
2019-04-01,0.27072572708129883
2019-04-11,0.2765437066555023
2019-04-21,0.2852587401866913
2019-05-01,0.2920821011066437
2019-05-11,0.2929387092590332
2019-05-21,0.29080307483673096
2019-06-01,0.2894408106803894
2019-06-11,0.29080307483673096
2019-06-21,0.30462226271629333
2019-07-01,0.3399583399295807
2019-07-11,0.3966270089149475
2019-07-21,0.44547292590141296
2019-08-01,0.48080307245254517
2019-08-11,0.49609753489494324
2019-08-21,0.5471504926681519
2019-09-01,0.5952111482620239
2019-09-11,0.6412968635559082
2019-09-21,0.6990541219711304
2019-10-01,0.7098155617713928
2019-10-11,0.6882450580596924
2019-10-21,0.6440332531929016
2019-11-01,0.5867400169372559
2019-11-11,0.5415109992027283
2019-11-21,0.4977453649044037
2019-12-01,0.46325400471687317
2019-12-11,0.4274955093860626
2020-01-01,0.37280187010765076
2020-01-11,0.3427661657333374
2020-01-21,0.3250148594379425
2020-02-01,0.3116537928581238
2020-02-11,0.2997085154056549
2020-02-21,0.2849672734737396
2020-03-01,0.2747650146484375
2020-03-11,0.2722665071487427
2020-03-21,0.275770366191864
2020-04-01,0.27330756187438965
2020-04-11,0.2733016014099121
2020-04-21,0.27342650294303894
2020-05-01,0.27337297797203064
2020-05-11,0.2698393762111664
2020-05-21,0.261594295501709
2020-06-01,0.2733015716075897
2020-06-11,0.2813027799129486
2020-06-21,0.2806543707847595
2020-07-01,0.30417609214782715
2020-07-11,0.36380723118782043
2020-07-21,0.4140927791595459
2020-08-01,0.4998215138912201
2020-08-11,0.6058952808380127
2020-08-21,0.6672753691673279
2020-09-01,0.7037596702575684
2020-09-11,0.7146639227867126
2020-09-21,0.7102618217468262
2020-10-01,0.6977037191390991
2020-10-11,0.671177864074707
2020-10-21,0.6194586157798767
2020-11-01,0.554764986038208
2020-11-11,0.49613919854164124
2020-11-21,0.4536823034286499
2020-12-01,0.4218798279762268
2020-12-11,0.4024032950401306
2021-01-01,0.3659190833568573
2021-01-11,0.3390779197216034
2021-01-21,0.3170136511325836
2021-02-01,0.29756098985671997
2021-02-11,0.28323614597320557
2021-02-21,0.27484235167503357
2021-03-01,0.2685008645057678
2021-03-11,0.2665853500366211
2021-03-21,0.27033311128616333
2021-04-01,0.2778584063053131
2021-04-11,0.2849494218826294
2021-04-21,0.27801308035850525
2021-05-01,0.28095775842666626
2021-05-11,0.27751338481903076
2021-05-21,0.2954610288143158
2021-06-01,0.3212611675262451
2021-06-11,0.35439619421958923
2021-06-21,0.38757288455963135
2021-07-01,0.4124628007411957
2021-07-11,0.4428732693195343
2021-07-21,0.44703149795532227
2021-08-01,0.45048782229423523
2021-08-11,0.4808209538459778
2021-08-21,0.5555562376976013
2021-09-01,0.6410291194915771
2021-09-11,0.7080903649330139
2021-09-21,0.733384907245636
2021-10-01,0.7244318723678589
2021-10-11,0.6809696555137634
2021-10-21,0.6228256821632385
2021-11-01,0.5443069338798523
2021-11-11,0.47656750679016113
2021-11-21,0.4243724048137665
2021-12-01,0.3954550623893738
2021-12-11,0.37120166420936584
2022-01-01,0.33227241039276123
2022-01-11,0.31195715069770813
2022-01-21,0.2909756004810333
2022-02-01,0.2687804698944092
2022-02-11,0.25170138478279114
2022-02-21,0.22472934424877167
2022-03-01,0.22913146018981934
2022-03-11,0.21790006756782532
2022-03-21,0.22958357632160187
2022-04-01,0.25280189514160156
2022-04-11,0.2610826790332794
2022-04-21,0.2660202085971832
2022-05-01,0.2639797627925873
2022-05-11,0.26211777329444885
2022-05-21,0.26165971159935
2022-06-01,0.31474119424819946
2022-06-11,0.2671564221382141
2022-06-21,-0.09368829429149628
2022-07-01,0.4401308596134186
2022-07-11,-1.0
2022-07-21,0.504408061504364
2022-08-01,0.4878762662410736
2022-08-11,0.5028138160705566
2022-08-21,0.5083699822425842
2022-09-01,0.4895538091659546
2022-09-11,0.19498510658740997
2022-09-21,0.3614574670791626
