Latitude,Longitude,Groundwater Level,Date
13.48834562,-16.6706159583,49.42568547289002,12/1/2023
13.4883763217,-16.6659979412,24.999741970661425,12/1/2023
13.4837337841,-16.6844382698,41.19088093438512,12/1/2023
13.4837647298,-16.6798203741,44.32814967598476,12/1/2023
13.4837955906,-16.6752024668,44.97252580071893,12/1/2023
13.4838263665,-16.670584548,37.34903339337026,12/1/2023
13.4838570576,-16.6659666176,38.21647050151922,12/1/2023
13.4791524378,-16.6936421931,37.345121068751745,12/1/2023
13.4791835423,-16.6890244074,23.132637862194002,12/1/2023
13.4792145621,-16.6844066109,31.970984472527768,12/1/2023
13.479245497,-16.6797888019,33.17490907090489,12/1/2023
13.4792763471,-16.6751709813,43.709452279079606,12/1/2023
13.4793071123,-16.6705531492,27.5088346257298,12/1/2023
13.4793377928,-16.6659353056,24.47625366569231,12/1/2023
13.4793683884,-16.6613174505,46.6610841420131,12/1/2023
13.4746020561,-16.69822806,22.63702232328089,12/1/2023
13.4746332347,-16.6936103726,25.08289779627865,12/1/2023
13.4746643285,-16.6889926735,41.47213499534633,12/1/2023
13.4746953374,-16.6843749637,28.53581749907002,12/1/2023
13.4747262616,-16.6797572413,48.094368930361384,12/1/2023
13.474757101,-16.6751395074,24.91060019587268,12/1/2023
13.4747878555,-16.6705217619,34.46287303723411,12/1/2023
13.4748185253,-16.665904005,35.73756077092275,12/1/2023
13.4748491103,-16.6612862365,21.59455724932521,12/1/2023
13.4748796104,-16.6566684576,32.30770692304422,12/1/2023
13.4749100257,-16.6520506663,45.783003171302916,12/1/2023
13.4749403563,-16.6474328636,22.50727419564113,12/1/2023
13.474970602,-16.6428150496,30.358078270675943,12/1/2023
13.4750007629,-16.6381972242,28.68145134304728,12/1/2023
13.4751205585,-16.6197258112,21.186124941608693,12/1/2023
13.4751502953,-16.6151079297,33.92492182770255,12/1/2023
13.4751799474,-16.6104900371,49.60151992458612,12/1/2023
13.4700516097,-16.7028137536,33.81360725386309,12/1/2023
13.4700828622,-16.6981961645,27.355100366768948,12/1/2023
13.47011403,-16.6935785637,23.193222552814646,12/1/2023
13.4701451129,-16.6889609512,22.287623405551166,12/1/2023
13.4701761111,-16.684343328,35.44608591859855,12/1/2023
13.4702070245,-16.6797256923,45.485355912236436,12/1/2023
13.4702378532,-16.675108045,36.70743252525165,12/1/2023
13.470268597,-16.6704903862,46.890558769187635,12/1/2023
13.4702992561,-16.6658727159,37.16588186738369,12/1/2023
13.4703298305,-16.661255034,43.959294458302196,12/1/2023
13.47036032,-16.6566373417,20.590791368379488,12/1/2023
13.4703907248,-16.6520196371,49.96809302762617,12/1/2023
13.4704210448,-16.647401921,30.91049318480701,12/1/2023
13.47045128,-16.6427841936,28.659975111170347,12/1/2023
13.4704814304,-16.6381664549,30.887826340905043,12/1/2023
13.4705114961,-16.6335487049,32.567263114359065,12/1/2023
13.4705414769,-16.6289309437,27.168372241361176,12/1/2023
13.470571373,-16.6243131721,40.90709839215489,12/1/2023
13.4706011843,-16.6196953884,37.681208464608595,12/1/2023
13.4706309108,-16.6150775936,31.002694308057276,12/1/2023
13.4706605526,-16.6104597877,42.55976933528506,12/1/2023
13.4706901095,-16.6058419706,21.3441059472693,12/1/2023
13.4707195817,-16.6012241425,33.241856768702156,12/1/2023
13.4655010986,-16.7073992739,48.88387560318729,12/1/2023
13.465532425,-16.7027817832,43.8520720706348,12/1/2023
13.4655636666,-16.6981642806,29.32394567808106,12/1/2023
13.4655948235,-16.6935467664,43.81144431715096,12/1/2023
13.4656258957,-16.6889292406,26.406688472580537,12/1/2023
13.4656568831,-16.684311704,24.61390943599573,12/1/2023
13.4656877857,-16.6796941548,41.129851880662656,12/1/2023
13.4657186037,-16.6750765942,21.220239364289903,12/1/2023
13.4657493369,-16.6704590219,22.92045695521037,12/1/2023
13.4657799853,-16.6658414382,40.44748619892067,12/1/2023
13.465810549,-16.661223843,41.18223651946043,12/1/2023
13.4658410279,-16.6566062373,39.25675519402724,12/1/2023
13.4658714221,-16.6519886192,22.665211820741387,12/1/2023
13.4659017316,-16.6473709898,45.44099124636477,12/1/2023
13.4659319563,-16.642753349,32.11851359064863,12/1/2023
13.4659620962,-16.6381356969,20.123686513337713,12/1/2023
13.4659921514,-16.6335180335,38.483140331311304,12/1/2023
13.4660221219,-16.6289003589,38.45063147355706,12/1/2023
13.4660520076,-16.6242826739,30.612269026524636,12/1/2023
13.4660818085,-16.6196649769,26.00882288605942,12/1/2023
13.4661115247,-16.6150472687,45.20800644335473,12/1/2023
13.4661411561,-16.6104295493,24.19618082767198,12/1/2023
13.4661707028,-16.6058118189,21.69073541224759,12/1/2023
13.4662001647,-16.6011940774,32.81059515840872,12/1/2023
13.4662295418,-16.5965763249,37.68638916740464,12/1/2023
13.4609505229,-16.7119846212,42.391126624810425,12/1/2023
13.4609819231,-16.7073672287,21.39667596383297,12/1/2023
13.4610132385,-16.7027498245,31.883700839749608,12/1/2023
13.4610444693,-16.6981324085,35.82515063522292,12/1/2023
13.4610756154,-16.6935149809,32.33048735055816,12/1/2023
13.4611066767,-16.6888975415,47.55034211794056,12/1/2023
13.4611376533,-16.6842800915,44.95331017298922,12/1/2023
13.4611685453,-16.679662629,32.698069590139085,12/1/2023
13.4611993525,-16.6750451549,21.806010907712164,12/1/2023
13.461230075,-16.6704276692,23.060201873249405,12/1/2023
13.4612607128,-16.665810172,40.441419279468654,12/1/2023
13.4612912658,-16.6611926634,23.381181213405586,12/1/2023
13.4613217342,-16.6565751442,43.41387215517109,12/1/2023
13.4613521178,-16.6519576128,49.88064116738127,12/1/2023
13.4613824167,-16.6473400699,36.55497947212082,12/1/2023
13.4614126309,-16.6427225157,39.912620070073714,12/1/2023
13.4614427603,-16.6381049501,22.398466504252376,12/1/2023
13.4614728051,-16.6334873733,44.995460418192465,12/1/2023
13.4615027651,-16.6288697853,26.449783914102277,12/1/2023
13.4615326404,-16.6242521869,29.45544885369673,12/1/2023
13.461562431,-16.6196345764,25.65423115212656,12/1/2023
13.4615921368,-16.6150169548,45.50861500889502,12/1/2023
13.4616217579,-16.6103993221,28.222061876317838,12/1/2023
13.4616512943,-16.6057816782,30.10141599239374,12/1/2023
13.461680746,-16.6011640233,31.55412378038414,12/1/2023
13.4617101129,-16.5965463574,21.182899089174068,12/1/2023
13.4617393951,-16.5919286814,36.468152046149015,12/1/2023
13.4617685926,-16.5873109935,28.81380970538795,12/1/2023
13.4617977053,-16.5826932946,39.966055601749204,12/1/2023
13.4618267333,-16.5780755849,32.03153253555928,12/1/2023
13.4563998826,-16.7165697953,45.42808046986907,12/1/2023
13.4564313566,-16.7119525011,46.29650882224003,12/1/2023
13.4564627458,-16.7073351952,23.88378878644626,12/1/2023
13.4564940504,-16.7027178775,25.484314895688133,12/1/2023
13.4565252703,-16.6981005481,47.832107817512046,12/1/2023
13.4565564055,-16.693483207,22.29226213691354,12/1/2023
13.4565874561,-16.6888658542,21.99802735515707,12/1/2023
13.4566184219,-16.6842484907,43.95946824904275,12/1/2023
13.4566493031,-16.6796311147,33.27828941609319,12/1/2023
13.4566800996,-16.6750137271,42.83848108512433,12/1/2023
13.4567108114,-16.670396328,47.78948663671714,12/1/2023
